R2568,R256,204, 3.41658000000000E+0004,4
R25692,R256,152, 4.82111400000000E+0004,4
R2572,R2,425, 1.81604050000000E+0005,3
R258,R2,443, 1.85431910000000E+0005,3
R2582,R258,449, 5.55429999999993E+0002,4
R25822,R2582,474, 2.23934000000000E+0003,5
R2584,R258,455, 1.45653000000000E+0003,4
R258412,R2584,558, 1.08897900000000E+0004,5
R25842,R2584,576, 1.19090600000000E+0004,5
R258422,R25842,618, 3.96691000000000E+0003,6
R25844,R2584,616, 1.60964100000000E+0004,5
R25846,R2584,671, 2.08101000000000E+0004,5
R258462,R25846,670, 2.38103000000000E+0003,6
R25848,R2584,692, 2.24982500000000E+0004,5
R25852,R258,494, 5.85288000000000E+0003,4
R25854,R258,500, 1.25401499999999E+0004,4
R25856,R258,577, 2.00345200000000E+0004,4
R25858,R258,575, 2.11852400000000E+0004,4
R2586,R258,588, 2.37381600000000E+0004,4
R2588,R258,591, 2.68156200000000E+0004,4
R25892,R258,639, 3.17380600000000E+0004,4
R25894,R258,638, 3.36071200000000E+0004,4
R2592,R2,442, 1.92191760000000E+0005,3
R2594,R2,412, 1.93261640000000E+0005,3
R25942,R2594,403, 1.23904000000001E+0003,4
R2596,R2,404, 1.97514360000000E+0005,3
R2598,R2,406, 1.97779730000000E+0005,3
R26,R2,417, 2.00712530000000E+0005,3
R2612,R26,397, 4.47460000000001E+0003,4
R26122,R2612,332, 7.62269000000000E+0003,5
R26132,R26,333, 1.51954700000000E+0004,4
R26134,R26,240, 1.82355700000000E+0004,4
R26136,R26,220, 1.99979500000000E+0004,4
R26138,R26,217, 2.62990900000000E+0004,4
R2614,R26,184, 3.17167500000000E+0004,4
R2616,R26,158, 3.21865700000000E+0004,4
R26162,R2616,155, 1.47489000000001E+0003,5
R26172,R26,154, 3.37613200000000E+0004,4
R2618,R26,147, 3.80337100000000E+0004,4
R26182,R2618,130, 8.15841999999998E+0003,5
R26184,R2618,114, 1.53331699999999E+0004,5
R262,R26,131, 4.23642800000000E+0004,4
R2622,R262,104, 1.80381800000001E+0004,5
R264,R26,111, 4.46736000000000E+0004,4
R2642,R264,108, 1.44394299999999E+0004,5
R2644,R264,85, 2.02123100000000E+0004,5
R2652,R26,107, 4.73476400000000E+0004,4
R2654,R26,102, 5.42342100000000E+0004,4
R266,R26,86, 6.30776900000000E+0004,4
R2662,R266,71, 5.97188000000000E+0003,5
R2664,R266,50, 1.12175399999999E+0004,5
